Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
Илья Муромец и Соловей Разбойник;Владимир Торопчин;Россия;приключения, комедия, семейный, анимация;2007;492;7.9
Аритмия;Борис Хлебников;Россия;драма, мелодрама;2017;493;7.9
Казино Рояль;Мартин Кэмпбелл;США / Германия / Великобритания / Чехия;приключения, боевик, триллер;2006;494;7.9
Семейка Аддамс: Горящий тур;Грег Тирнан;США / Великобритания / Канада;анимация, ужасы, комедия, семейный;2021;495;7.9
Темный рыцарь: Возрождение легенды;Кристофер Нолан;США / Великобритания;драма, триллер, боевик;2012;496;7.9
Три богатыря и наследница престола;Константин Бронзит;Россия;анимация, приключения, семейный;2018;497;7.9
Плохие парни 2;Майкл Бэй;США;боевик, комедия, триллер;2003;498;7.9
Ледяной драйв;Джонатан Хенсли;США;боевик;2021;499;7.9
2+1;Хьюго Желен;Франция / Великобритания;комедия, семейный, драма, мелодрама;2016;500;7.9
История Рыцаря;Брайан Хелгеленд;США;приключения, комедия, мелодрама, боевик;2001;501;7.9
Банды Нью-Йорка;Мартин Скорсезе;США / Германия / Италия / Великобритания / Нидерланды;драма, исторический;2002;502;7.9
Время ведьм;Доминик Сена;США;приключения, фэнтези, драма, триллер;2010;503;7.9
Двойная жизнь Чарли Сан-Клауда;Бёрр Стирс;США;драма;2010;504;7.9
Я - Четвертый;Ди Джей Карузо;США;фантастика, боевик;2011;505;7.9
Гравитация;Альфонсо Куарон;США / Великобритания;фантастика, триллер;2013;506;7.9
Зорро;Дуччо Тессари;Франция / Италия;комедия, семейный, вестерн, приключения;1975;507;7.9
Lil Peep: Всё для всех;Себастьян Джонс;США;документальный;2019;508;7.9
Во власти стихии;Бальтасар Кормакур;США;драма;2018;509;7.9
Бойфренд из будущего;Ричард Кертис;Великобритания;фантастика, комедия, драма;2013;510;7.9
Усатый нянь;Владимир Грамматиков;СССР;комедия;1977;511;7.9
Облачный атлас;Том Тыквер;США;фантастика;2012;512;7.9
Красавчик;Тиль Швайгер;Германия;мелодрама, комедия;2007;513;7.9
Другой мир;Лен Уайзман;США / Германия / Венгрия / Великобритания;сказка, боевик, ужасы;2003;514;7.9
Воровка книг;Брайан Персивал;США;драма;2014;515;7.9
Парфюмер: история одного убийцы;Том Тыквер;Германия / Франция / Испания / США;триллер, драма;2006;516;7.9
Приключения Паддингтона 2;Пол Кинг;Великобритания / Франция;фэнтези, семейный, приключения;2017;517;7.9
Из Парижа с любовью;Пьер Морель;Франция;боевик;2009;518;7.9
Океаны;Жак Перрен;Франция / Швейцария / Испания / Монако;драма, документальный;2009;519;7.9
Энканто;Байрон Ховард;США / Колумбия;приключения, анимация, комедия;2021;520;7.9
Турист;Флориан Хенкель фон Доннерсмарк;США;драма, триллер;2010;521;7.9
Ёлки;Ярослав Чеважевский;Россия;комедия;2010;522;7.9
Судья;Дэвид Добкин;США;драма;2014;523;7.9
Сибирский цирюльник;Никита Михалков;Россия / Франция / Италия / Чехия;исторический, драма, мелодрама;1998;524;7.9
А зори здесь тихие...;Ренат Давлетьяров;Россия;военный, драма, исторический;2015;525;7.9
Паранормальное явление 2;Тод Уильямс;США;ужасы;2010;526;7.9
Однажды в Вегасе;Том Вон;США;комедия;2008;527;7.8
Ультиматум Борна;Пол Гринграсс;США;приключения, триллер, драма, боевик;2007;528;7.8
Я плюю на ваши могилы;Стивен Р. Монро;США;ужасы;2010;529;7.8
Тор;Кеннет Брана;США;боевик, приключения, драма;2011;530;7.8
Клятва;Майкл Сакси;США;мелодрама, драма;2011;531;7.8
Два дня;Авдотья Смирнова;Россия;мелодрама;2011;532;7.8
Город тайн;Роберт Коннолли;Австралия / США;криминал, драма, мистика;2020;533;7.8
"007: Координаты ""Скайфолл""";Сэм Мендес;США / Великобритания;приключения, боевик, триллер;2012;534;7.8
Том и Джерри;Тим Стори;США;анимация;2021;535;7.8
9 рота;Федор Бондарчук;Россия / Финляндия / Украина;драма, военный;2005;536;7.8
Мстители: Эра Альтрона;Джосс Уидон;США;боевик, приключения, фантастика;2015;537;7.8
Джейн Остин;Джулиан Джаррольд;США / Великобритания / Ирландия;биография, драма, мелодрама;2007;538;7.8
Тачки 3;Брайан Фи;США;детский, анимация, приключения;2017;539;7.8
Американская история Х;Тони Кэй;США;криминал, драма;1998;540;7.8
Любовь в большом городе 2;Марюс Вайсберг;Россия;комедия;2010;541;7.8
М+Ж;Игорь Андрейчук;Россия;комедия, мелодрама;2009;542;7.8
Артист;Мишель Хазанавичус;Франция;мелодрама;2011;543;7.8
Плохие парни;Майкл Бэй;США;триллер, боевик, комедия;1995;544;7.8
Хочу как ты;Дэвид Добкин;США;комедия;2011;545;7.8
Кинг Конг;Питер Джексон;США;драма, фантастика, приключения, боевик;2005;546;7.8
Мгла;Фрэнк Дарабонт;США;ужасы;2007;547;7.8
Эдвард руки-ножницы;Тим Бертон;США;сказка, драма, мелодрама, комедия;1990;548;7.8
Суини Тодд, демон-парикмахер с Флит-стрит;Тим Бертон;США;мюзикл, ужасы, триллер;2007;549;7.8
Ёлки 2;Дмитрий Киселев;Россия;комедия;2011;550;7.8
Перси Джексон и море чудовищ;Тор Фройденталь;США;приключения, семейный, боевик, фэнтези, драма;2013;551;7.8
Дьявол в деталях;Джон Ли Хэнкок;США;триллер;2021;552;7.8
Поп;Владимир Хотиненко;Россия;драма;2010;553;7.8
Последний богатырь: Корень зла;Дмитрий Дьяченко;Россия;фэнтези, приключения;2020;554;7.8
Экипаж;Николай Лебедев;Россия;драма, приключения, триллер;2016;555;7.8
Смертельная битва;Пол У. С. Андерсон;США;боевик, фэнтези, фантастика, триллер, приключения;1995;556;7.8
И грянул шторм;Крэйг Гиллеспи;США;драма, триллер;2016;557;7.8
Эйфель;Мартин Бурбулон;Франция;биография, драма, исторический;2021;558;7.8
Великий уравнитель 2;Антуан Фукуа;США;боевик, криминал, триллер;2018;559;7.8
Батя;Дмитрий Ефимович;Россия;комедия, драма;2021;560;7.8
Балканский рубеж;Андрей Волгин;Россия / Сербия;боевик, драма, военный;2019;561;7.8
Angry Birds 2 в кино;Туроп Ван Орман;США;анимация, детский;2019;562;7.8
Форсаж;Роб Коэн;США / Германия;триллер, боевик, криминал;2001;563;7.8
Выживут только любовники;Джим Джармуш;США;фантастика, триллер, драма;2013;564;7.8
Боец;Дэвид О. Расселл;США;драма;2010;565;7.8
Кролик Питер 2;Уилл Глак;США;семейный, приключения;2021;566;7.8
Форсаж 9;Джастин Лин;США;боевик, криминал;2021;570;7.8
Пингвины мистера Поппера;Марк Уотерс;США;комедия;2011;571;7.8
9;Шэйн Эккер;США;анимация, военный, фантастика, приключения;2009;572;7.8
Бесконечная история;Вольфганг Петерсен;ФРГ / США;сказка, приключения, драма;1984;573;7.8
Жена путешественника во времени;Роберт Швентке;США;мелодрама, драма, фантастика;2009;574;7.8
Малыш на драйве;Эдгар Райт;США / Великобритания;боевик, криминал, триллер;2017;575;7.8
Иллюзионист;Нил Бергер;США / Чехия;драма, мелодрама, приключения;2006;576;7.8
Конг: Остров черепа;Джордан Вот-Робертс;США;приключения, боевик, фэнтези;2017;577;7.8
Простая просьба;Пол Фиг;США;триллер, криминал, детектив;2018;578;7.8
Тор 2: Царство тьмы;Алан Тейлор;США;приключения, боевик;2013;579;7.8
Агенты А.Н.К.Л.;Гай Ричи;США;комедия, приключения, боевик;2015;580;7.8
Взрыв из прошлого;Хью Уилсон;США;мелодрама, комедия, драма;1999;581;7.8
Капитан Марвел;Анна Боден;США;приключения, фэнтези, боевик;2019;582;7.8
Черная Пантера;Райан Куглер;США;драма, боевик, фантастика;2018;583;7.8
Труп невесты;Тим Бертон;США;анимация, сказка;2005;584;7.8
Неуправляемый;Тони Скотт;США;триллер, драма, боевик;2010;585;7.8
Голодные игры: И вспыхнет пламя;Френсис Лоуренс;США;боевик, фантастика, триллер;2013;586;7.8
Kingsman: Секретная служба;Мэттью Вон;Великобритания;триллер;2014;587;7.8
Бой с тенью 2: Реванш;Антон Мегердичев;Россия;спорт, боевик;2007;588;7.8
Неудержимые 2;Саймон Уэст;США;приключения, триллер, боевик;2012;589;7.8
Коммандос;Марк Л. Лестер;США;боевик, приключения;1985;590;7.8
Меня зовут Кхан;Каран Джохар;Индия;драма, мелодрама;2010;591;7.8
Гарри Поттер и Принц-Полукровка;Дэвид Йейтс;Великобритания / США;фэнтези, семейный, приключения;2008;592;7.8
Идеальные незнакомцы;Паоло Дженовезе;Италия;драма, комедия;2016;593;7.8
Шаг вперед;Энн Флетчер;США;мелодрама, мюзикл, драма;2006;594;7.8
Поиск;Аниш Чаганти;США;триллер;2018;595;7.8
На гребне волны;Кэтрин Бигелоу;США;драма, приключения, биография, триллер, криминал;1991;596;7.8
Великий Гэтсби;Баз Лурманн;США;драма, исторический;2013;597;7.8
Призрак оперы;Джоэл Шумахер;США / Великобритания;драма, триллер, мюзикл, сказка, мелодрама;2004;598;7.8
Джек Ричер;Кристофер МакКуорри;США;триллер, детектив;2012;599;7.8
Тайна 7 сестер;Томми Виркола;Великобритания;фантастика, триллер;2017;600;7.8
Отверженные;Том Хупер;Великобритания;мюзикл, драма;2012;601;7.8
Гадкий я 2;Пьер Коффин;США;анимация, семейный;2013;602;7.8
Послезавтра;Роланд Эммерих;США;триллер, боевик, фантастика, драма;2004;603;7.8
Город грехов;Фрэнк Миллер;США;криминал, триллер, драма, боевик;2005;604;7.8
Луна 2112;Дункан Джонс;Великобритания;триллер, фантастика;2009;605;7.8
Обитель зла;Пол У. С. Андерсон;Германия / Франция / Великобритания;ужасы, боевик, триллер, фантастика;2002;606;7.8
Дом у озера;Алехандро Агрести;США;мелодрама, драма;2006;607;7.8
Сестренка;Александр Галибин;Россия;военный, драма;2019;608;7.8
Волшебная страна;Марк Форстер;Великобритания / США;биография, семейный, драма;2004;609;7.8
Классный мюзикл: Выпускной;Кенни Ортега;США;мелодрама, комедия, мюзикл, семейный, драма;2008;610;7.8
Форсаж 7;Джеймс Ван;США;криминал, триллер, боевик;2015;611;7.8
Оно;Андрес Мускетти;США;ужасы, триллер;2017;612;7.8
Фиксики против кработов;Васико Бедошвили;Россия;анимация, детский;2019;613;7.8
Тепло наших тел;Джонатан Левин;США;мелодрама, драма, ужасы;2013;614;7.8
Крупная рыба;Тим Бертон;США;приключения, сказка, комедия, драма;2003;615;7.8
"Пароль ""Рыба-меч""";Доминик Сена;США / Австралия;триллер, криминал, боевик;2001;616;7.8
Коллекционер 2;Маркус Данстэн;США;ужасы;2012;617;7.8
Инферно;Рон Ховард;США / Япония / Турция / Венгрия;триллер, приключения;2016;618;7.8
Тренер;Данила Козловский;Россия;спорт, драма;2018;619;7.8
Двойной форсаж;Джон Синглтон;США / Германия;боевик, триллер, драма, криминал;2003;620;7.8
Монте-Карло;Томас Безука;США;комедия;2011;621;7.8
Старикам тут не место;Итан Коэн;США;драма, триллер, приключения;2007;622;7.8
Ниндзя-убийца;Джеймс МакТиг;США;боевик;2009;623;7.8
Защитник;Боаз Якин;США;криминал;2011;624;7.8
Синистер;Скотт Дерриксон;США;криминал, ужасы;2012;625;7.8
Астерикс: Земля Богов;Александр Астье;Франция;анимация, приключения;2014;626;7.8
Человек-паук: Возвращение домой;Джон Уоттс;США;боевик, фантастика, приключения;2017;627;7.8
Гангстер;Ридли Скотт;США;криминал, драма;2007;628;7.8
Навсикая из долины Ветров;Хаяо Миядзаки;Япония;фантастика, аниме , приключения, драма, анимация;1984;629;7.8
Джейн Эйр;Кэри Фукунага;Великобритания;мелодрама, драма;2011;630;7.8
Порок на экспорт;Дэвид Кроненберг;Великобритания / Канада / США;драма, триллер, мистика;2007;631;7.8
Классный мюзикл;Кенни Ортега;США;мелодрама, комедия, семейный, мюзикл;2006;632;7.8
Шевели ластами;Бен Стассен;Бельгия;анимация, приключения;2009;633;7.8
Кошмар перед Рождеством;Генри Селик;США;семейный, фэнтези, мюзикл, анимация;1993;634;7.8
Чудаки 3D;Джефф Треймейн;США;документальный, комедия;2010;635;7.7
Сумерки. Сага. Затмение;Дэвид Слэйд;США;мелодрама, фэнтези;2010;636;7.7
Зверопой;Гарт Дженнингс;США;мюзикл, анимация;2016;637;7.7
Легенда;Брайан Хелгеленд;Великобритания / Франция;триллер, драма, криминал;2015;638;7.7
Дориан Грей;Оливер Паркер;Великобритания;драма;2009;639;7.7
Шоу Трумана;Питер Уир;США;драма, фантастика;1998;640;7.7
Ветер крепчает;Хаяо Миядзаки;Япония;драма, анимация, аниме ;2013;641;7.7
Судный день;Нил Маршалл;Великобритания;драма, триллер, боевик, ужасы;2008;642;7.7
Кто я;Баран бо Одар;Германия;триллер;2014;643;7.7
Сайлент Хилл 2 3D;М. Дж. Бассетт;США / Франция;ужасы;2012;644;7.7
Космос между нами;Питер Челсом;США;фантастика;2016;645;7.7
Убить Билла 2;Квентин Тарантино;США;боевик, драма, триллер, криминал;2004;646;7.7
Бой с тенью;Алексей Сидоров;Россия;боевик, драма;2005;647;7.7
Книжный клуб;Билл Холдермэн;США;комедия;2018;648;7.7
Тачки 2;Брэд Льюис;США;анимация, комедия, семейный;2011;649;7.7
Однажды в Америке;Серджио Леоне;США / Италия;драма;1983;650;7.7
Последняя песня;Джули Энн Робинсон;США;драма;2010;651;7.7
Пленницы;Дени Вильнев;США;триллер, драма, криминал;2013;652;7.7
Территория;Александр Мельник;Россия;драма, приключения;2014;653;7.7
127 часов;Дэнни Бойл;США / Великобритания;драма;2010;654;7.7
Красная шапочка;Кэтрин Хардвик;США;драма, триллер, фэнтези;2011;655;7.7
Разбогатей или сдохни;Джим Шеридан;США;драма, мюзикл, боевик, криминал;2005;656;7.7
Заколдованный мальчик;Владимир Полковников;СССР;семейный, анимация;1955;657;7.7
Похороните меня за плинтусом;Сергей Снежкин;Россия;драма;2009;658;7.7
Красотка;Гэрри Маршалл;США;комедия;1990;659;7.7
Транс;Дэнни Бойл;Великобритания;триллер, криминал, драма;2013;660;7.7
8 подруг Оушена;Гэри Росс;США;криминал, комедия, боевик;2017;661;7.7
Большое путешествие вглубь океанов 3D: Возвращение;Ник Стрингер;Германия / Великобритания / Австрия;документальный;2009;662;7.7
Легенда острова Двид;Анарио Мамедов;Россия;приключения, семейный;2010;663;7.7
Заложница 2;Оливье Мегатон;Франция;триллер, драма, криминал, боевик;2012;664;7.7
Грех;Андрей Кончаловский;Россия / Италия;драма, биография, исторический;2018;665;7.7
Ангелы и демоны;Рон Ховард;США;криминал, мистика, драма, триллер;2009;666;7.7
Один дома;Крис Коламбус;США;криминал, комедия, семейный;1990;667;7.7
Самый пьяный округ в мире;Джон Хиллкоут;США;драма, криминал;2012;668;7.7
Долгая дорога домой;Анатолий Пасичник;Россия;триллер, драма, мистика;2017;669;7.7
Другой мир: Пробуждение;Манс Морлинд;США;фантастика, ужасы, боевик;2012;670;7.7
Хищник;Джон МакТирнан;США;боевик, ужасы, триллер, фантастика;1987;671;7.7
Звездный путь;Джей Джей Абрамс;США;боевик, фантастика, драма;2009;672;7.7
Другие;Алехандро Аменабар;Испания / Франция / США;ужасы, фантастика, мистика, триллер, драма;2001;673;7.7
Санктум;Алистер Грирсон;США;триллер, драма, приключения;2011;674;7.7
Паркер;Тэйлор Хэкфорд;США;криминал, триллер;2013;675;7.7
Блэйд;Стивен Норрингтон;США;ужасы, триллер, боевик;1998;676;7.7
Анна Каренина;Сергей Соловьев;Россия;драма;2008;677;7.7
LOL (ржунимагу);Лиза Азуэлос;Франция;комедия;2008;678;7.7
Семейка Аддамс;Грег Тирнан;США;анимация, фэнтези;2019;679;7.7
Омерзительная восьмерка;Квентин Тарантино;США;комедия, вестерн, триллер;2015;680;7.7
Падение Лондона;Бабак Наджафи;США / Великобритания;криминал, боевик, триллер;2015;681;7.7
Пара из будущего;Алексей Нужный;Россия;комедия, мелодрама, фантастика;2021;682;7.7
Ледокол;Николай Хомерики;Россия;драма;2016;683;7.7
Волк с Уолл-стрит;Мартин Скорсезе;США;драма, криминал;2013;684;7.7
Человек, который изменил все;Беннет Миллер;США;драма;2011;685;7.7
Обитель зла: Последняя глава;Пол У. С. Андерсон;Германия / Австралия / Канада / Франция;триллер, боевик, ужасы, фантастика;2016;686;7.7
История игрушек 4;Джош Кули;США;комедия, фэнтези, детский, семейный;2019;687;7.7
Тарас Бульба;Владимир Бортко;Россия;боевик, исторический;2008;688;7.7
Облачно, возможны осадки в виде фрикаделек;Кристофер Миллер;США;семейный, анимация;2009;689;7.7
Одинокий рейнджер;Гор Вербински;США;триллер, боевик, вестерн;2013;690;7.7
Годзилла против Конга;Адам Вингард;США;фантастика, боевик, драма;2021;691;7.7
Высоцкий. Спасибо, что живой;Петр Буслов;Россия;биография, драма;2011;692;7.7
Секс по дружбе;Уилл Глак;США;комедия;2011;693;7.7
Люди в черном 2;Барри Зонненфельд;США;комедия, фантастика;2002;694;7.7
Легенды осени;Эдвард Цвик;США;драма, военный, вестерн;1994;695;7.7
Сплит;М. Найт Шьямалан;США;триллер;2016;700;7.7
Коко до Шанель;Анн Фонтен;Франция;биография;2008;701;7.7
Идентификация Борна;Даг Лайман;США / Германия / Чехия;триллер;2002;702;7.7
Фантастические твари: Преступления Грин-де-Вальда;Дэвид Йейтс;США;фэнтези;2018;703;7.7
Ворон;Джеймс МакТиг;США / Испания / Венгрия;триллер;2012;704;7.7
Шазам!;Дэвид Ф. Сандберг;США;фантастика, фэнтези, боевик;2019;705;7.7
Знакомство с Факерами 2;Пол Вайц;США;комедия;2010;706;7.7
Неуловимые: Последний герой;Артем Аксененко;Россия;триллер, криминал, драма;2015;707;7.7
Стиляги;Валерий Тодоровский;Россия;комедия, мюзикл;2008;708;7.7
Папе снова 17;Бёрр Стирс;США;комедия;2008;709;7.7
День выборов;Олег Фомин;Россия;комедия;2007;710;7.7
Воздушный маршал;Хауме Кольет-Серра;США;триллер, боевик;2013;711;7.7
Между небом и землей;Марк Уотерс;США;мелодрама, комедия;2005;712;7.7
Миссия невыполнима: Последствия;Кристофер МакКуорри;США;боевик, триллер, приключения;2018;713;7.7
Метро;Антон Мегердичев;Россия;боевик, драма, триллер;2013;714;7.7
Особое мнение;Стивен Спилберг;США;фантастика, боевик, триллер;2002;715;7.7
После тебя;Анна Матисон;Россия;драма;2016;716;7.7
Чудо-женщина;Пэтти Дженкинс;США;боевик, приключения, фантастика;2017;717;7.7
Марли и я;Дэвид Фрэнкел;США;комедия;2008;718;7.7
Дамбо;Тим Бертон;США;семейный, фэнтези, приключения;2019;719;7.7
Рэмбо: первая кровь;Тед Котчефф;США;боевик, драма, триллер;1982;720;7.7
Невероятный Халк;Луи Летерье;США;боевик;2008;721;7.7
Призрак в доспехах;Руперт Сандерс;США;криминал, драма, фантастика, боевик;2017;722;7.7
Мэри и ведьмин цветок;Хиромаса Ёнэбаяси;Япония;анимация, приключения, аниме ;2017;723;7.7
Прошлой ночью в Нью-Йорке;Мэсси Таджедин;США;драма, мелодрама;2010;724;7.7
Три икса;Роб Коэн;США;триллер, боевик;2002;725;7.7
Тайное окно;Дэвид Кепп;США;ужасы, триллер, драма;2004;726;7.7
Расправь крылья;Николя Ванье;Франция;приключения, семейный;2019;727;7.7
Американский пирог: Все в сборе;Джон Харвитц;США;комедия;2012;728;7.7
1408;Микаэль Хофстрем;США;триллер, ужасы;2007;729;7.7
Ночные игры;Джон Фрэнсис Дейли;США;комедия, детектив;2018;730;7.7
Штурм Белого дома;Роланд Эммерих;США;драма, боевик;2013;731;7.7
Перевозчик 3;Оливье Мегатон;Франция;боевик;2009;732;7.7
Великий;Эндрю Левитас;США;драма;2020;733;7.7
Бешеные псы;Квентин Тарантино;США;триллер;1992;734;7.7
Миссия Невыполнима: Протокол Фантом;Брэд Берд;США;боевик;2011;735;7.7
Без меня;Кирилл Плетнев;Россия;мелодрама;2018;736;7.7
Любовь и другие лекарства;Эдвард Цвик;США;мелодрама, комедия;2010;737;7.7
Статский советник;Филипп Янковский;Россия;исторический, криминал, приключения;2005;738;7.7
Великий уравнитель;Антуан Фукуа;США;триллер, криминал, боевик;2014;739;7.7
Ван Гог. С любовью, Винсент;Дорота Кобела;Великобритания / Польша;анимация, драма, криминал, биография;2017;740;7.7
Знамение;Алекс Пройас;США;мистика, триллер, драма;2009;741;7.7
Поддубный;Глеб Орлов;Россия;драма, исторический;2013;742;7.7
Головоломка;Пит Доктер;США;анимация;2015;743;7.7
Двадцать одно;Роберт Лукетич;США;драма;2008;744;7.7
Гран Торино;Клинт Иствуд;США;драма;2008;745;7.7
Удивительное путешествие Доктора Дулиттла;Стивен Гейган;США;комедия;2020;746;7.7
Путь;Владимир Пасичник;Россия;приключения, боевик;2009;747;7.7
Петля времени;Райан Джонсон;США;боевик, фантастика;2012;748;7.7
Профессионал;Гэри МакКендри;США / Австралия;боевик, триллер;2011;749;7.7
Сияние;Стэнли Кубрик;Великобритания / США;триллер;1980;750;7.7
Один вдох;Елена Хазанова;Россия;спорт, драма;2020;751;7.7
