Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
Выстрел в пустоту;Рик Роман Во;США;триллер, драма, криминал;2017;752;7.7
Под покровом ночи;Том Форд;США;триллер, драма;2016;753;7.7
Рокки;Джон Г. Эвилдсен;США;спорт, мелодрама, драма;1976;754;7.7
Дом;Тим Джонсон;США;анимация, фэнтези, приключения, фантастика;2015;755;7.7
Отмель;Хауме Кольет-Серра;США;триллер, драма;2016;756;7.7
Миссия: Невыполнима 3;Джей Джей Абрамс;Германия / США;триллер, боевик, мистика, приключения;2006;757;7.7
Короли улиц;Дэвид Эйр;США;драма, триллер;2008;758;7.7
Приключения Тинтина: Тайна единорога;Стивен Спилберг;США / Новая Зеландия / Бельгия;семейный, анимация, приключения, мистика;2011;759;7.7
Смывайся!;Дэвид Бауэрс;США / Великобритания;семейный, комедия, анимация;2006;760;7.7
Лолита;Эдриан Лайн;США / Франция;мелодрама, драма;1997;761;7.7
Стань легендой! Бигфут младший;Джереми Дегрусон;Франция / Бельгия;анимация;2017;762;7.7
Больше чем секс;Айвэн Райтман;США;мелодрама, комедия;2011;763;7.7
Бегущий в лабиринте: Лекарство от смерти;Уэс Болл;США;фантастика, боевик, триллер;2018;764;7.7
Непосредственно Каха;Виктор Шамиров;Россия;комедия;2019;765;7.7
13;Гела Баблуани;США;драма, триллер;2010;766;7.7
Ветреная река;Тейлор Шеридан;США / Великобритания / Канада;триллер;2017;767;7.7
Падение ангела;Рик Роман Во;США;боевик, триллер;2019;768;7.7
Пункт назначения 5;Стивен Куэйл;США;триллер, ужасы;2011;769;7.7
Мюнхен: Возмездие;Стивен Спилберг;США;драма, триллер;2005;770;7.7
Бьютифул;Алехандро Гонсалес Иньярриту;Испания / Мексика;драма;2010;771;7.7
Сделка с дьяволом;Ренни Харлин;США;ужасы, триллер;2006;772;7.7
Не стучи дважды;Карадог В. Джеймс;Великобритания;ужасы;2016;773;7.7
Джонни Д;Майкл Манн;США;драма;2009;774;7.7
Прости за любовь;Федерико Моччиа;Италия;мелодрама;2008;775;7.7
Иностранец;Мартин Кэмпбелл;США;триллер, боевик;2016;776;7.7
Затащи меня в ад;Сэм Рэйми;США;триллер, ужасы;2009;777;7.7
Альфа;Альберт Хьюз;США;боевик, триллер, драма;2018;778;7.7
Заклятие 2;Джеймс Ван;США;ужасы;2016;779;7.7
Союзники;Роберт Земекис;США;триллер;2016;780;7.7
Возвращение;Андрей Звягинцев;Россия;драма;2003;787;7.6
Шестое чувство;М. Найт Шьямалан;США;документальный, мистика, триллер;1999;788;7.6
Бегущий по лезвию;Ридли Скотт;США;драма, фантастика;1982;789;7.6
Хижина в лесу;Дрю Годдард;США;ужасы, триллер;2012;790;7.6
Mamma Mia 2;Ол Паркер;США;мюзикл;2018;791;7.6
Далласский клуб покупателей;Жан-Марк Валле;США;драма;2013;792;7.6
Полет навигатора;Рэндал Клайзер;США;детский, приключения, фантастика;1986;793;7.6
Схватка;Джо Карнахан;США;триллер;2012;794;7.6
12 лет рабства;Стив МакКуин;США / Великобритания;драма, исторический, биография;2013;795;7.6
Иван Царевич и Серый Волк;Владимир Торопчин;Россия;комедия, анимация, сказка;2011;796;7.6
Бесславные ублюдки;Квентин Тарантино;Германия / США;драма, военный, приключения, боевик;2009;797;7.6
Вавилон;Алехандро Гонсалес Иньярриту;США / Мексика;триллер, драма;2006;798;7.6
Тайна красной планеты 3D;Саймон Уэллс;США;анимация, семейный;2011;799;7.6
Призрачный патруль;Роберт Швентке;США;боевик, комедия, криминал;2013;800;7.6
Глубоководный горизонт;Питер Берг;США;драма;2016;801;7.6
Город воров;Бен Аффлек;США;драма, мелодрама, триллер, криминал;2010;802;7.6
Призрачный гонщик;Марк Стивен Джонсон;США;триллер, боевик, фэнтези;2007;803;7.6
Пассажир;Хауме Кольет-Серра;США;боевик, триллер;2018;804;7.6
22 пули. Бессмертный;Ришар Берри;Франция;криминал;2010;805;7.6
Матильда;Алексей Учитель;Россия;драма, биография, триллер;2017;806;7.6
Игра на понижение;Адам МакКей;США;драма;2016;807;7.6
Перси Джексон и похититель молний;Крис Коламбус;Канада / США;фэнтези, сказка;2009;808;7.6
Аноним;Роланд Эммерих;Германия / Великобритания;драма;2011;809;7.6
Мама;Андрес Мускетти;США;ужасы;2013;810;7.6
Большие Мамочки. Сын как отец;Джон Уайтселл;США;комедия;2011;811;7.6
Трио из Бельвилля;Сильвэн Шомэ;Франция / Бельгия / Канада / Великобритания / Латвия;комедия, анимация;2003;812;7.6
Охота на пиранью;Андрей Кавун;Россия;триллер, криминал, боевик;2006;813;7.6
Дыши во мгле;Дэниэл Роби;Франция;фантастика, драма;2018;814;7.6
Жизнь в розовом цвете;Оливье Даан;Франция / Великобритания / Чехия;биография, драма, мюзикл;2007;815;7.6
Вверх;Пит Доктер;США;анимация, семейный, приключения;2009;816;7.6
Росомаха: Бессмертный;Джеймс Мэнголд;США;приключения, боевик;2013;817;7.6
Простые сложности;Нэнси Мейерс;США;мелодрама, комедия;2009;818;7.6
Мачете;Роберт Родригес;США;боевик, криминал, триллер;2010;819;7.6
Гнездо жаворонка;Паоло Тавиани;Италия / Испания / Великобритания / Франция / Болгария;драма;2007;820;7.6
Одинокий мужчина;Том Форд;США;драма;2009;821;7.6
Норвежский лес;Чан Ань Хунг;Япония;драма;2010;822;7.6
Вселенная Стивена Хокинга;Джеймс Марш;Великобритания;биография, драма;2014;823;7.6
Орел Девятого легиона;Кевин МакДональд;США;драма;2010;824;7.6
Миссия невыполнима: Племя изгоев;Кристофер МакКуорри;США;приключения, боевик, триллер;2015;825;7.6
Вечные;Хлоя Чжао;США;фантастика, боевик;2021;826;7.6
Женщина в черном;Джеймс Уоткинс;Великобритания;триллер, ужасы, драма;2012;827;7.6
Гордость и предубеждение;Джо Райт;Франция / Великобритания;мелодрама, драма;2005;828;7.6
На пятьдесят оттенков темнее;Джеймс Фоули;США;драма, мелодрама;2017;829;7.6
Лето. Одноклассники. Любовь;Лиза Азуэлос;США;комедия;2012;830;7.6
Джой;Дэвид О. Расселл;США;драма;2015;831;7.6
Не брать живым;Пол Гринграсс;США / Великобритания;драма, военный;2009;832;7.6
Убийство в Восточном экспрессе;Кеннет Брана;США;детектив, триллер;2017;833;7.6
Ничего хорошего в отеле «Эль Рояль»;Дрю Годдард;США;триллер;2018;834;7.6
Монгол. Часть первая;Сергей Бодров;Казахстан / Россия / Германия;исторический, драма, биография;2007;835;7.6
Жизнь Пи;Энг Ли;США / Китай;приключения, драма;2012;836;7.6
Фиксики. Большой секрет;Андрей Колпин;Россия;анимация, детский, семейный, приключения;2017;837;7.6
Горячие новости;Андерс Банке;Россия / Швеция;боевик;2009;838;7.6
Секретная служба Санта Клауса;Сара Смит;США / Великобритания;анимация;2011;839;7.6
Rammstein: Paris!;Юнас Окерлунд;Германия;мюзикл;2016;840;7.6
Артур и месть Урдалака;Люк Бессон;Франция;сказка, семейный, анимация;2009;841;7.6
Близнецы;Айвэн Райтман;США;комедия;1988;842;7.6
Капитан Филлипс;Пол Гринграсс;США;драма;2013;843;7.6
Сезон охоты 3;Коуди Камерон;США;детский, анимация;2010;844;7.6
Телепорт;Даг Лайман;США;триллер, фантастика, драма, приключения;2008;845;7.6
Дюнкерк;Кристофер Нолан;США / Великобритания / Франция;драма, военный, исторический;2017;846;7.6
Легенда о Коловрате;Джаник Файзиев;Россия;приключения, фэнтези, исторический;2017;847;7.6
Дракула;Фрэнсис Форд Коппола;США;ужасы, мелодрама, триллер, фантастика, драма;1992;848;7.6
Милый друг;Деклан Доннеллэн;Великобритания;драма;2011;849;7.6
Еще одна из рода Болейн;Джастин Чадвик;Великобритания;драма, исторический;2008;850;7.6
Разлом Сан-Андреас;Брэд Пейтон;США;боевик, приключения;2015;851;7.6
Голос монстра;Хуан Антонио Байона;США / Испания;фантастика, фэнтези;2016;852;7.6
Ограбление на Бейкер-Стрит;Роджер Дональдсон;США / Великобритания;триллер;2008;853;7.6
Выкрутасы;Лео Габриадзе;Россия;мелодрама, комедия, спорт;2010;854;7.6
Очень плохая училка;Джейк Кэздан;США;комедия;2011;855;7.6
Красотка на всю голову;Эбби Кон;США;комедия;2018;856;7.6
Гагарин. Первый в космосе;Павел Пархоменко;Россия;исторический, драма, биография;2013;857;7.6
Мрачные тени;Тим Бертон;США;ужасы, драма;2012;858;7.6
Мой парень - псих;Дэвид О. Расселл;США;комедия, драма;2012;859;7.6
"Отель ""Гранд Будапешт""";Уэс Андерсон;США / Германия;комедия, драма;2014;860;7.6
Агент Джонни Инглиш: Перезагрузка;Оливер Паркер;США;комедия;2011;861;7.6
Стрелок;Антуан Фукуа;США;боевик, драма, триллер;2007;862;7.6
Ранэвэйс;Флория Сиджизмонди;США;драма, мюзикл;2010;863;7.6
Синистер 2;Киран Фой;США;ужасы;2015;864;7.6
Так себе каникулы;Уолт Бекер;США;комедия;2009;865;7.6
Артур и Минипуты;Люк Бессон;США / Франция;анимация, сказка, семейный;2006;866;7.6
Железная хватка;Итан Коэн;США;драма, вестерн;2010;867;7.6
Красная жара;Уолтер Хилл;США;комедия, триллер, криминал, боевик;1988;868;7.6
Мамма Миа!;Филлида Ллойд;Великобритания / США;комедия, мелодрама, мюзикл;2008;869;7.6
Монстро;Мэтт Ривз;США;боевик, триллер, драма, фантастика;2008;870;7.6
Люди Икс: Апокалипсис;Брайан Сингер;США;боевик, фэнтези, приключения, фантастика;2016;871;7.6
Три богатыря и принцесса Египта;Константин Феоктистов;Россия;анимация, приключения, детский;2017;872;7.6
Дьявол носит Prada;Дэвид Фрэнкел;США;комедия, драма;2006;873;7.6
Бегущий человек;Пол Майкл Глэйзер;США;боевик, триллер, фантастика;1987;874;7.6
Чужой 4: Воскрешение;Жан-Пьер Жене;США;триллер, боевик, ужасы, фантастика;1997;875;7.6
Эволюция Борна;Тони Гилрой;США;боевик;2012;876;7.6
Больше, чем друг;Джош Гордон;США;мелодрама, комедия;2010;877;7.6
И гаснет свет...;Дэвид Ф. Сандберг;США;ужасы;2016;878;7.6
Наемник;Майкл Куэста;США;боевик, триллер;2017;879;7.6
Убежище;Манс Марлинд;США;триллер, ужасы;2010;880;7.6
Оно;Дэвид Роберт Митчелл;США;детектив, ужасы;2014;881;7.6
Рэмбо IV;Сильвестр Сталлоне;США;триллер, боевик, драма;2007;884;7.6
P.S. Я люблю тебя;Ричард ЛаГравенезе;США;комедия, драма;2007;885;7.6
Босс-молокосос;Том МакГрат;США;комедия, семейный;2017;886;7.6
Наркоз;Джоби Хэролд;США;триллер, драма;2007;887;7.6
Рок-н-рольщик;Гай Ричи;Великобритания;боевик;2008;888;7.6
Покемон. Детектив Пикачу;Роб Леттерман;США;детектив, комедия;2019;889;7.6
Рыбка Поньо на утесе;Хаяо Миядзаки;Япония;анимация, семейный, приключения, аниме ;2008;890;7.6
Сказки на ночь;Адам Шэнкман;США;фэнтези, комедия;2008;891;7.6
Отголоски прошлого;Пол Мориссон;Великобритания;драма, биография;2008;892;7.6
Любовь с ограничениями;Дмитрий Тюрин;Россия;комедия, мелодрама;2016;893;7.6
Мертвец;Джим Джармуш;США / Германия / Япония;криминал, вестерн, драма, приключения;1995;894;7.6
Сатисфакция;Анна Матисон;Россия;драма;2010;895;7.6
Между нами горы;Хани Абу-Ассад;США;мелодрама, драма;2017;896;7.6
Совокупность лжи;Ридли Скотт;США;драма;2008;897;7.6
Прощай, детка, прощай;Бен Аффлек;США;драма, криминал, мистика;2007;898;7.6
Прибытие;Дени Вильнев;США;фантастика;2016;899;7.6
Крутая Джорджия;Гэрри Маршалл;США;мелодрама, драма, комедия;2007;900;7.6
Принцесса и лягушка;Рон Клементс;США;мелодрама, мюзикл, комедия, семейный, анимация;2009;901;7.6
Город грехов 2: Женщина, ради которой стоит убивать;Фрэнк Миллер;США;драма, криминал, боевик, триллер;2014;902;7.6
Шаг вперед 2: улицы;Джон М. Чу;США;мелодрама, драма, мюзикл;2008;903;7.6
Мой сосед Тоторо;Хаяо Миядзаки;Япония;аниме , сказка, семейный, анимация;1988;904;7.6
Первый мститель: Другая война;Энтони Руссо;США;приключения, фантастика, боевик;2014;905;7.6
Сердцеед;Паскаль Шомель;Франция / Монако;комедия;2010;906;7.6
Шесть демонов Эмили Роуз;Скотт Дерриксон;США;ужасы, драма, триллер;2005;907;7.6
Страшно красив;Даниел Барнз;США;мелодрама, ужасы, фэнтези;2010;908;7.6
Астрал: Глава 2;Джеймс Ван;США;ужасы, триллер;2013;909;7.6
Не дыши;Федерико Альварес;США;триллер;2016;910;7.6
Тобол;Игорь Зайцев;Россия;драма, исторический;2018;911;7.6
Отпетые мошенницы;Крис Эддисон;США;комедия;2019;912;7.6
Экзамен;Стюарт Хэзелдайн;Великобритания;триллер;2009;913;7.6
Шаг вперед 3;Джон М. Чу;США;мюзикл, драма, мелодрама;2010;914;7.6
Аисты;Николас Столлер;США;комедия, анимация;2016;915;7.6
Оно 2;Андрес Мускетти;США;ужасы, триллер;2019;916;7.6
Фокус;Гленн Фикарра;США;комедия;2015;917;7.6
1917;Сэм Мендес;Великобритания / США;военный, драма;2019;918;7.6
Кредо убийцы;Джастин Курзель;США;фантастика, боевик, приключения;2016;919;7.6
Домовой;Евгений Бедарев;Россия;комедия, фэнтези, семейный;2019;920;7.6
Калашников;Константин Буслов;Россия;военный, исторический;2020;921;7.6
Как выйти замуж за миллиардера;Фил Трейлл;Великобритания;комедия;2010;922;7.6
Призрачная красота;Дэвид Фрэнкел;США;драма;2016;923;7.6
Господа офицеры: спасти императора;Олег Фомин;Россия;исторический, драма;2008;924;7.6
В поисках Дори;Эндрю Стэнтон;США;комедия, приключения, анимация;2016;925;7.6
Проклятие;Такаши Шимицу;Япония / США / Германия;триллер, ужасы, драма;2004;926;7.6
Бункер;Андрес Баиз;Испания / Колумбия;триллер;2011;927;7.6
Искупление;Джо Райт;Великобритания;драма;2007;928;7.6
Фонтан;Даррен Аронофски;США;фантастика, драма, мелодрама;2006;929;7.6
Пила 3;Даррен Линн Боусман;США;триллер, криминал, ужасы;2006;930;7.6
Дитя тьмы;Хауме Кольет-Серра;США;драма, мистика, ужасы;2009;931;7.6
Судья Дредд;Пит Трэвис;Великобритания;фантастика, боевик;2012;932;7.6
"""Старый"" новый год";Гэрри Маршалл;США;мелодрама, комедия;2011;933;7.6
Шаг вперед 4;Скотт Спир;США;мелодрама, драма, мюзикл;2012;934;7.6
Хортон;Стив Мартино;США;семейный, анимация, приключения;2008;935;7.6
Одноклассники;Деннис Дуган;США;комедия;2010;936;7.6
Дэдпул;Тим Миллер;США / Канада;фэнтези, фантастика, боевик;2016;937;7.6
Союз спасения;Андрей Кравчук;Россия;драма, исторический, приключения;2019;938;7.6
Винчестер. Дом, который построили призраки;Питер Спириг;США;мистика, триллер;2018;939;7.6
Нерв;Генри Джуст;США;триллер;2016;940;7.6
Охота на воров;Кристиан Гьюдгэст;США;боевик, триллер;2018;941;7.6
Любовь в большом городе;Марюс Вайсберг;Россия;мелодрама, комедия;2008;942;7.6
99 франков;Ян Кунен;Франция;комедия;2007;943;7.6
Хроники Нарнии: Принц Каспиан;Эндрю Адамсон;Великобритания / США;семейный, сказка, приключения;2008;944;7.6
Оверлорд;Джулиус Эйвери;Великобритания;боевик;2018;945;7.6
Хоттабыч;Петр Точилин;Россия;семейный, комедия, сказка;2006;946;7.6
Трансформеры: Эпоха истребления;Майкл Бэй;США;фантастика, боевик;2014;947;7.6
Бросок Кобры;Стивен Соммерс;США;боевик;2009;948;7.6
Это всего лишь конец света;Ксавье Долан;Франция / Канада;драма;2016;949;7.6
Люди Икс. Последняя битва;Бретт Рэтнер;США;фантастика, триллер, боевик;2006;950;7.6
Живое;Даниэль Эспиноса;США;фантастика, триллер;2017;951;7.6
Погоня;Джон Синглтон;США;триллер, боевик;2011;952;7.6
Золотой компас;Крис Вайц;США / Великобритания;драма, приключения, семейный, сказка, триллер;2007;953;7.6
Нефть;Пол Томас Андерсон;США;драма;2007;954;7.6
Дом грез;Джим Шеридан;США;триллер;2011;955;7.6
Боевой конь;Стивен Спилберг;США;военный;2011;956;7.6
Охотники на ведьм;Томми Виркола;США / Германия;комедия, боевик, ужасы;2012;957;7.6
Красавица и чудовище;Билл Кондон;США;фэнтези, мелодрама, мюзикл;2017;961;7.5
Счастливого дня смерти;Кристофер Лэндон;США;ужасы, триллер, детектив;2017;962;7.5
Мне бы в небо;Джейсон Райтман;США;комедия, драма;2009;963;7.5
Копы в глубоком запасе;Адам МакКей;США;комедия, боевик;2010;964;7.5
Четвертый вид;Олатунде Осунсанми;США;триллер;2009;965;7.5
Любой ценой;Дэвид Маккензи;США;криминал, драма;2016;966;7.5
Тайная жизнь домашних животных;Крис Рено;США;анимация, комедия;2016;967;7.5
День радио;Дмитрий Дьяченко;Россия;комедия;2008;968;7.5
В спорте только девушки;Евгений Невский;Россия;комедия, спорт;2013;969;7.5
Гоголь. Страшная месть;Егор Баранов;Россия;драма, исторический, мистика;2018;970;7.5
Летят журавли;Михаил Калатозов;СССР;мелодрама, военный, драма;1957;971;7.5
Пляж;Дэнни Бойл;США / Великобритания;драма, триллер, приключения;2000;972;7.5
Вам и не снилось;Илья Фрэз;СССР;драма;1980;973;7.5
Жена смотрителя зоопарка;Ники Каро;США;драма, биография, военный;2016;974;7.5
Великая стена;Чжан Имоу;США;триллер, мистика;2016;975;7.5
Подмена;Клинт Иствуд;США;мистика;2008;976;7.5
2001 год: Космическая одиссея;Стэнли Кубрик;США / Великобритания;фантастика, приключения;1968;977;7.5
Лев;Гарт Дэвис;Великобритания / Австралия / США;драма;2016;978;7.5
Американский психопат;Мэри Хэррон;США / Канада;ужасы, триллер, драма;2000;979;7.5
РЭД 2;Дин Паризо;США;боевик, комедия, триллер;2013;980;7.5
Девушка в поезде;Тейт Тэйлор;США;детектив, триллер;2016;981;7.5
Дело храбрых;Джозеф Косински;США;драма, боевик;2017;982;7.5
Чарли и шоколадная фабрика;Тим Бертон;США;приключения, сказка, комедия, семейный;2005;983;7.5
Страсти Христовы;Мэл Гибсон;США;драма;2004;984;7.5
Как украсть небоскреб;Бретт Рэтнер;США;комедия, боевик;2011;985;7.5
Пила 8;Майкл Спириг;США / Канада;ужасы, триллер;2017;986;7.5
Правила съема: Метод Хитча;Энди Теннант;США;комедия, мелодрама;2005;987;7.5
День Святого Валентина;Гэрри Маршалл;США;комедия, мелодрама;2010;988;7.5
Вне/себя;Тарсем Сингх;США;триллер, фантастика, драма;2015;989;7.5
Душевная кухня;Фатих Акин;Германия;комедия;2009;990;7.5
Доброе утро;Роджер Мишелл;США;комедия;2010;991;7.5
Эрагон;Стефан Фэнгмайер;США;семейный, приключения, сказка, боевик;2006;992;7.5
Кинг Конг;Джон Гиллермин;США;мелодрама, триллер, приключения, ужасы, боевик, фантастика;1976;993;7.5
Хорошо быть тихоней;Стивен Чбоски;США;драма, мелодрама;2012;994;7.5
Жизнь Адель;Абделатиф Кешиш;Франция;драма, мелодрама;2013;995;7.5
Несносные боссы;Сет Гордон;США;комедия;2011;996;7.5
Свадебный переполох;Адам Шэнкман;США / Германия;исторический, мелодрама;2001;997;7.5
Детям до 16...;Андрей Кавун;Россия;мелодрама;2010;998;7.5
История дельфина;Чарльз Мартин Смит;США;драма;2011;999;7.5
Стукач;Рик Роман Во;США;боевик, драма, триллер;2013;1000;7.5
Левша;Антуан Фукуа;США;спорт, драма;2015;1001;7.5
Город Кошек;Джейда Торун;США / Турция;документальный;2016;1002;7.5
Звонок 2;Хидео Наката;США;ужасы, триллер, мистика, драма;2005;1003;7.5
Поймай толстуху, если сможешь;Сет Гордон;США;криминал, комедия;2013;1004;7.5
Дети шпионов в 4D;Роберт Родригес;США;фантастика, приключения, семейный, боевик, комедия;2011;1005;7.5
Пол: Секретный материальчик;Грег Моттола;Франция / Великобритания / США / Испания;фантастика, комедия;2011;1006;7.5
Рамона и Бизус;Элизабет Аллен;США;комедия, семейный;2010;1007;7.5
Ученик;Кирилл Серебренников;Россия;драма;2016;1008;7.5
Бегущий в лабиринте;Уэс Болл;США;триллер, детектив, фантастика;2014;1009;7.5
Иллюзионист;Сильвен Шомэ;Великобритания / Франция;анимация;2009;1010;7.5
Судная ночь навсегда;Эверардо Валерио Гоут;США;ужасы, триллер, боевик;2021;1011;7.5
Лига справедливости;Зак Снайдер;США;фантастика, приключения, боевик, фэнтези;2017;1012;7.5
12 обезьян;Терри Гиллиам;США;фантастика, драма;1995;1013;7.5
Кожа, в которой я живу;Педро Альмодовар;Испания;драма;2011;1014;7.5
Шпионский мост;Стивен Спилберг;США;драма, триллер;2015;1015;7.5
Третий лишний;Сет МакФарлейн;США;комедия;2011;1016;7.5
Паразиты;Пон Чжун-хо;Корея;драма, триллер;2019;1017;7.5
Околофутбола;Антон Борматов;Россия;драма;2013;1018;7.5
Джастин Бибер: Никогда не говори никогда 3D;Джон М. Чу;США;мюзикл;2011;1019;7.5
Ты водишь!;Джефф Томсич;США;комедия;2018;1020;7.5
"Операция ""Валькирия""";Брайан Сингер;США / Германия;триллер;2008;1021;7.5
Путешествие к центру Земли 3D;Эрик Бревиг;США;приключения, боевик, фэнтези, семейный;2008;1022;7.5
Алиса в стране чудес;Тим Бертон;США;сказка, приключения, семейный;2010;1023;7.5
